workload,config,completed,instructions,cycles,ipc,speedup_vs_no_pref,dcache_hit,dcache_miss,dcache_miss_rate,dcache_miss_reduction_vs_no_pref,mlc_hit,mlc_miss,mlc_miss_rate,mlc_miss_reduction_vs_no_pref,pref_issued,pref_useful,pref_accuracy,pref_coverage_vs_no_pref,bop_pref_issued,bop_rr_fill_updates,bop_rr_hit_score_inc,bop_phase_on,bop_phase_off,bop_dropped_page
505.mcf_r,no_pref,1.0,5000000.0,7957986.0,0.6282996728066624,1.0,1946171.0,259762.0,0.11775606965397407,0.0,87573.0,81662.0,0.4825361184152214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505.mcf_r,nextline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505.mcf_r,stream,1.0,5000000.0,7114429.0,0.702797090251375,1.1185698810122358,1945387.0,260261.0,0.11799752272348081,-0.0019209892132028283,87554.0,81662.0,0.48259029878971255,0.0,31836.0,36011.0,1.1311408468400552,0.13863074660650904,0.0,0.0,0.0,0.0,0.0,0.0
505.mcf_r,stride,1.0,5000000.0,7804379.0,0.6406659645821916,1.0196821553643152,1946188.0,259792.0,0.11776716017370964,-0.00011549033345903403,87569.0,81245.0,0.4812693260037675,0.005106414244079205,7269.0,6441.0,0.8860916219562526,0.02479577459366651,0.0,0.0,0.0,0.0,0.0,0.0
505.mcf_r,bop,1.0,5000000.0,7190027.0,0.6954076806665678,1.1068089174074034,1945229.0,260465.0,0.11808754976891626,-0.0027063234807247483,87550.0,79276.0,0.47520170716794746,0.02921799613039111,42469.0,34455.0,0.8112976524052838,0.13264064797776426,42469.0,34710.0,7787.0,17.0,0.0,5494.0
508.namd_r,no_pref,1.0,5000000.0,1676005.0,2.9832846560720285,1.0,1427401.0,64561.0,0.04327254983706019,0.0,10906.0,4002.0,0.2684464716930507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508.namd_r,nextline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508.namd_r,stream,1.0,5000000.0,1601022.0,3.1230051804409933,1.0468344594890013,1430992.0,61031.0,0.040904865407570795,0.05467697216585865,10906.0,3921.0,0.26444998988332097,0.020239880059970017,5708.0,3000.0,0.5255781359495445,0.04646768172735862,0.0,0.0,0.0,0.0,0.0,0.0
508.namd_r,stride,1.0,5000000.0,1659051.0,3.013771125782149,1.010219095133302,1430909.0,61139.0,0.040976563756661984,0.05300413562367379,10906.0,3800.0,0.25839793281653745,0.05047476261869066,1546.0,1189.0,0.7690815006468306,0.018416691191276466,0.0,0.0,0.0,0.0,0.0,0.0
508.namd_r,bop,1.0,5000000.0,1626376.0,3.0743198374791563,1.0305150838428507,1430980.0,61075.0,0.040933477653303664,0.053995446167190764,10896.0,3727.0,0.25487246119127405,0.06871564217891057,4049.0,1778.0,0.43912077056063226,0.02753984603708121,4049.0,2171.0,432.0,1.0,0.0,68.0
