Workload,Config,IPC,Speedup,L1 Miss Rate,L2 Miss Rate,Pref Accuracy,Pref Coverage
mcf,No Prefetch,0.6283,1.0000,0.1178,0.4825,-,-
mcf,Stream,0.7028,1.1186,0.1180,0.4826,1.1311,0.1386
mcf,Stride,0.6407,1.0197,0.1178,0.4813,0.8861,0.0248
mcf,BOP,0.6954,1.1068,0.1181,0.4752,0.8113,0.1326
namd,No Prefetch,2.9833,1.0000,0.0433,0.2684,-,-
namd,Stream,3.1230,1.0468,0.0409,0.2644,0.5256,0.0465
namd,Stride,3.0138,1.0102,0.0410,0.2584,0.7691,0.0184
namd,BOP,3.0743,1.0305,0.0409,0.2549,0.4391,0.0275
lbm,No Prefetch,0.8204,1.0000,0.2746,0.6090,-,-
lbm,Stream,1.2560,1.5310,0.2687,0.6089,0.6625,0.3196
lbm,Stride,0.8213,1.0011,0.2745,0.6088,0.9865,0.0554
lbm,BOP,1.1498,1.4015,0.2738,0.5971,0.8796,0.2293
perlbench,No Prefetch,2.0549,1.0000,0.0082,0.9852,-,-
perlbench,Stream,2.1560,1.0492,0.0082,0.9849,0.1582,0.0874
perlbench,Stride,2.0549,1.0000,0.0082,0.9852,0.0588,0.0006
perlbench,BOP,2.2682,1.1038,0.0082,0.9843,0.3509,0.1600
gcc,No Prefetch,0.9555,1.0000,0.9874,0.9928,-,-
gcc,Stream,0.9554,0.9999,0.8488,0.9928,0.9853,0.0156
gcc,Stride,0.9554,0.9999,0.8515,0.9926,0.9659,0.0150
gcc,BOP,0.9555,1.0000,0.9801,0.9926,-,-
cactuBSSN,No Prefetch,0.9971,1.0000,0.9999,1.0000,-,-
cactuBSSN,Stream,0.9970,0.9999,0.8593,1.0000,0.9968,0.0156
cactuBSSN,Stride,0.9970,0.9998,0.8624,1.0000,0.9624,0.0149
cactuBSSN,BOP,0.9972,1.0000,0.9940,1.0000,0.0008,0.0000
omnetpp,No Prefetch,0.9526,1.0000,0.0817,0.6404,-,-
omnetpp,Stream,0.9521,0.9995,0.0823,0.6392,0.1536,0.0261
omnetpp,Stride,0.9531,1.0005,0.0817,0.6404,0.5562,0.0005
omnetpp,BOP,0.9650,1.0130,0.0819,0.6365,0.1780,0.0438
x264,No Prefetch,3.5858,1.0000,0.0109,0.4092,-,-
x264,Stream,3.5788,0.9980,0.0108,0.4086,0.3092,0.0060
x264,Stride,3.6228,1.0103,0.0109,0.4018,0.3327,0.0105
x264,BOP,3.6291,1.0121,0.0108,0.4048,0.3199,0.0254
deepsjeng,No Prefetch,2.1860,1.0000,0.0064,0.5037,-,-
deepsjeng,Stream,2.1860,1.0000,0.0061,0.5032,0.4525,0.0232
deepsjeng,Stride,2.1860,1.0000,0.0064,0.5037,-,-
deepsjeng,BOP,2.1959,1.0045,0.0063,0.5005,0.1467,0.0338
xz,No Prefetch,1.4632,1.0000,0.0252,0.7053,-,-
xz,Stream,1.4708,1.0052,0.0251,0.7049,0.5184,0.0191
xz,Stride,1.4671,1.0027,0.0250,0.7053,0.9599,0.0127
xz,BOP,1.5200,1.0388,0.0250,0.7048,0.1756,0.0624
